# Polynomial: y = 0.1840x^0 + 5.7732x^1 + 7.1064x^2 + 1.3421x^3 + 7.7761x^4 + 3.3484x^5 + 5.4327x^6 + 0.6879x^7 + 4.9722x^8 + 3.0865x^9 + 2.4901x^10
x_base,nonce,f(x_base+nonce)
2.43564696,7.4047,24318183398.61012
2.51636909,19.7751,79940900787370.93750
2.49820441,9.5156,174254481408.50067
2.48869726,19.6024,73078912265448.35938
2.44678222,17.4523,25874209684117.01562
2.46136764,14.2910,4686858726710.55273
2.46640813,10.1993,293794911545.95032
2.43510481,12.5000,1501590433824.41895
2.47051735,18.8950,52438512153175.88281
2.44797551,7.7080,33193858852.93636
2.47325718,0.8935,733452.77826
2.45177978,8.1767,51977273977.16451
2.45288454,14.9958,7019892249138.08203
2.45128140,2.3933,23905494.40773
2.46524319,5.8030,4388090910.47322
2.46574128,14.9797,7006957021561.34082
2.43087679,10.9013,487923402426.31354
2.45248219,12.6170,1640940571810.47876
2.47928102,11.1377,601444534630.16943
2.48121817,15.3570,8739289310961.74609
2.45978725,16.5547,16472454622454.77344
2.45163552,16.8586,19200537820634.09375
2.45516865,6.5190,9817154789.09354
2.45798079,13.2191,2427827123923.43652
2.49535481,17.0537,21693173462552.33203
2.45409920,3.0089,76545183.82012
2.47040245,6.9953,16591881311.59939
2.47333141,7.0112,16919720209.14487
2.45210627,9.7939,210548884013.62820
2.48823501,9.8655,229590496896.85513
2.45000706,2.4484,26599976.41069
2.45693381,19.6687,74222439031397.53125
2.48337827,3.1085,96001491.81056
2.46461789,18.5993,45530191324707.52344
2.45580061,12.0644,1135920489338.35571
2.47358275,11.5614,811296901340.10498
2.41868324,0.2020,70323.28168
2.46817696,4.4340,747568607.72042
2.49851273,15.7093,10711877287986.31250
2.48700917,10.7736,462617651393.50055
2.48578740,17.9711,34050871966980.78516
2.43203613,0.9323,728475.60057
2.42682879,6.5729,10095686628.01237
2.48098899,11.1877,624434943854.24109
2.49607780,2.6144,40086251.38813
2.47029272,4.8642,1354753141.82478
2.51205518,11.7368,942353106896.05359
2.49171085,6.8978,15322860211.18680
2.46513766,16.5333,16334927140638.53711
2.51576654,11.4651,780852312614.81006
2.46612852,0.7072,419471.60443
2.48784245,1.1377,1481232.08119
2.42434304,13.9045,3635777234258.74707
2.48607471,7.6406,32261807797.20779
2.48681422,11.6508,871985354522.26086
2.46915867,6.5904,10775678108.26262
2.45100810,19.3051,62782372334675.50781
2.44724161,14.6120,5611488018671.68262
2.44806209,5.3527,2478599594.66857
2.43619938,0.5266,220142.74202
2.49698133,0.3254,139888.21712
2.47899794,6.4527,9369610962.48813
2.49204759,7.1376,19648692069.09604
2.42718005,10.4318,341263021563.17468
2.42352134,4.2370,527673126.18091
2.46100201,18.3322,40039008440044.02344
2.45263535,17.4646,26109603784235.94141
2.47841417,17.7032,29763407882471.17578
2.44657082,17.1788,22548995161753.18359
2.46916351,6.9351,15561526000.95012
2.49893789,19.9458,85575436785402.00000
2.48556771,15.9273,11971279066877.44531
2.45868614,0.5367,243894.42261
2.45068982,10.5129,369737606080.48730
2.47227131,4.3621,678779787.77263
2.46220172,1.1837,1562318.24505
2.45248232,10.8935,492945881666.86865
2.49406101,5.1820,2116293384.85844
2.47127111,18.6374,46500542332842.75781
2.42227711,10.7073,419327504577.99927
2.49539308,18.2325,38806984234128.45312
2.44026785,16.5218,16027094373196.44141
2.45173516,2.3634,22537904.71282
2.46365711,13.1316,2305110513577.82520
2.48867595,2.2757,20345016.98279
2.49082446,14.8176,6479696354193.17090
2.47363682,12.1998,1260394298492.98364
2.45480065,11.7531,915873258809.38086
2.46553817,19.9837,85746148023889.14062
2.51241896,18.3618,41616225116039.74219
2.46526327,19.2091,60477005478163.81250
2.47030879,13.6905,3281363439846.49316
2.45356328,17.6169,28174658571796.89062
2.45391093,19.6432,73276881154501.90625
2.44348767,15.9042,11557226774890.22656
2.47065687,5.6349,3610265298.70935
2.49149057,15.8230,11351338566638.08594
2.50381495,12.2168,1301115472697.49268
2.43823795,6.5395,9855629594.30287
2.48316113,14.4905,5338409846618.16211
2.45172711,1.7081,5510111.09169
2.49372196,8.9274,105713798678.90231
2.47079017,5.5204,3140277359.13064
2.48464487,9.9610,247046408624.42542
2.44716457,2.0872,12623039.99336
2.47279309,12.0954,1173658546653.87720
2.47496551,10.1212,278227390520.90186
