# Polynomial: y = 5.1183x^0 + 5.4932x^1 + 9.0007x^2 + 9.9472x^3 + 2.3038x^4 + 5.9352x^5 + 7.8493x^6 + 3.6745x^7 + 3.6500x^8
x_base,nonce,f(x_base+nonce)
2.47217494,0.6611,54658.58664
2.45957888,0.5932,45128.59075
2.45322390,3.1188,4275344.96046
2.44707256,1.1358,148051.47459
2.48553210,2.9278,3421121.19746
2.45925067,3.0057,3680854.92236
2.49827271,1.7395,525114.98687
2.46313440,3.6385,8630369.73976
2.50437581,3.5338,7958692.58625
2.46562642,2.2894,1263530.48063
2.47445542,1.3747,253655.75754
2.49328113,1.3938,273113.77589
2.45970561,1.9808,749250.32881
2.43476958,2.4171,1474482.93772
2.46119958,1.4418,281663.89071
2.45807875,2.9838,3562700.40444
2.42762969,4.3322,19125033.19767
2.47973723,3.6951,9466455.59912
2.50550029,4.9936,42955704.06500
2.50760631,3.9126,12809733.96962
2.49189188,1.7870,565081.24927
2.44844193,0.7312,60917.68588
2.49681361,1.7310,515817.05565
2.44982934,4.3538,20111027.66732
2.47049540,4.4520,23014807.42418
2.49501620,1.5146,345246.13953
2.46971329,4.5073,24465154.42212
2.43930956,0.3578,23823.51409
2.47265874,1.8683,630467.73603
2.47047602,3.6178,8484991.67290
2.48346140,3.8369,11341796.46524
2.47182646,4.9239,38543474.07319
2.47516362,0.5524,42461.48959
2.49274462,0.1474,15698.54520
2.49648172,4.8371,36086639.63400
2.47364592,4.1779,16866975.12792
2.45977887,0.5572,41384.00677
2.47737408,4.3822,21435017.12669
2.47659488,0.0555,11639.51838
2.44359096,0.3070,21097.15619
2.47455966,3.1524,4611816.21891
2.46926825,1.2495,195724.95859
2.45310545,0.0422,10487.52922
2.45252091,3.6815,8991927.48779
2.46549882,3.8207,10874562.57986
2.51386194,3.7456,10520742.53236
2.41873926,3.8878,11150677.41458
2.49327756,1.0685,141651.96609
2.44320198,3.9282,12072642.15057
2.45851546,3.6313,8501635.09312
2.49943339,3.9256,12884736.09461
2.47259121,1.2265,188080.15883
2.49341881,4.1046,15839728.90120
2.49299823,0.0556,12191.78472
2.49494716,2.7287,2599328.21233
2.44586052,3.0721,3965427.45305
2.45335848,1.5620,349002.40378
2.48684342,4.7232,31606759.10781
2.42680756,1.1249,138683.82613
2.44374510,2.8652,2944498.09573
2.45693528,1.2231,180928.18202
2.48701144,2.8278,2969648.68842
2.47955336,2.9198,3353610.20746
2.43397809,1.1435,146391.24038
2.48631658,4.2024,17614227.89158
2.45116419,0.4563,31572.84422
2.49207035,2.3977,1565093.30597
2.46498230,4.7994,33513321.82696
2.45888205,1.1380,152440.72203
2.47964384,1.3089,225082.26335
2.50172897,3.7308,10174568.16600
2.47796591,4.5628,26262221.78092
2.44127098,4.9002,36390727.78157
2.45437777,0.4863,34304.47382
2.42954490,0.3066,20308.62812
2.46559465,0.8999,92811.99968
2.44637159,1.4620,284601.91422
2.45676803,4.2458,17900015.60124
2.43006252,2.0506,802463.58581
2.45725538,3.9023,11899432.85448
2.42625702,0.5361,36198.05662
2.43587912,1.5019,301167.52108
2.43828205,0.6741,52028.65006
2.48188366,1.3498,245109.43616
2.43332692,2.4604,1574828.13176
2.50996294,4.7476,33268656.86166
2.44764612,2.3146,1278287.85486
2.44010016,0.6148,45359.55967
2.43025592,2.5664,1847473.17347
2.44337881,4.6334,27327621.00674
2.42623891,0.4232,27258.63543
2.45435286,1.0862,135459.96418
2.49335612,2.7275,2588660.84748
2.50305210,0.0807,13446.27154
2.46018949,0.9802,109337.66084
2.46710637,4.6987,30125489.95091
2.42637360,3.0517,3749580.50575
2.43189795,0.8074,69894.77996
2.43359009,4.8761,35179280.63595
2.44865899,3.9411,12345405.41659
2.47642227,2.0867,922235.29521
2.46678541,3.8473,11254665.35623
2.47928007,3.6713,9181868.21919
2.49221929,0.1578,16125.57349
2.46845581,0.9230,98272.28983
2.44171949,1.6848,429148.15291
2.46521553,2.6571,2235803.85088
2.47799471,3.1146,4398726.56589
2.48401819,0.7045,62185.39812
2.43074481,0.1191,12234.42875
2.44680927,3.0869,4053604.85807
2.46012059,4.4333,22272575.34159
2.47783709,4.5080,24707270.25180
2.45758474,4.3153,19414390.33201
2.46074218,0.5650,42274.33065
2.49168857,2.2912,1321319.57892
2.43770507,0.1928,15291.37526
2.46665219,2.1161,952958.24864
2.46574918,4.4334,22417134.76561
2.42511937,1.3930,238650.02076
2.48682819,0.2882,22492.82718
2.45896509,4.4557,22812811.10089
2.48214328,0.1447,15139.17201
2.48961519,0.3520,26718.75178
2.46529622,3.6328,8591653.09693
2.50404078,2.5232,1936084.46968
2.46035067,0.7918,71974.78321
2.49040108,2.7040,2489440.52036
2.45856560,4.7910,32983722.99381
2.46394917,0.1388,14170.72196
2.44288523,0.0078,9226.91070
2.45813776,4.6854,29403115.15979
2.49098375,2.7447,2645775.00016
2.48227633,0.3471,25893.13533
2.50019929,1.5343,361783.81277
2.49325216,1.3882,270145.40869
2.47578009,1.1984,178779.21867
2.42969038,1.4076,247823.95967
2.42628563,2.7942,2587247.72378
2.45189754,2.4136,1506519.00226
2.48311842,1.3771,259201.64982
2.47573735,3.0588,4058288.48036
2.49372906,2.7675,2746767.49345
2.44871834,1.3024,208888.16882
2.48573377,4.6784,30070697.35720
2.49789428,1.8105,595378.47501
2.48884826,0.9124,100404.17096
2.49879897,0.8697,93429.90320
2.44406775,2.7380,2444335.33171
2.44311801,2.7253,2395252.81439
2.44498551,3.7009,9127665.77130
2.47465681,2.4860,1747749.72603
2.46983631,1.6901,456205.67254
2.44441009,3.2699,5194706.96075
2.46299496,0.1504,14591.63763
2.43957648,2.3531,1342164.12394
2.48031367,4.9352,39355897.73828
2.47902188,1.2308,192215.95731
2.43474126,4.4156,21211390.36067
2.51343641,2.4202,1676032.59009
2.46669744,0.1803,15993.81507
2.44586500,0.2997,20819.79984
2.49133778,2.6728,2380040.80323
2.50318784,4.9707,41840694.43645
2.44401872,2.8319,2806360.26347
2.47560679,0.2167,18072.91827
2.46378545,2.3185,1320044.50369
2.44026569,4.3552,19923946.21647
2.48921880,3.3406,6064117.18768
2.50131265,1.0929,151595.66675
2.48760640,0.7270,66046.93951
2.45311550,4.9021,36925868.95632
2.42639040,0.2828,18906.75402
2.49393160,2.6803,2416050.94694
2.45033815,0.5539,40119.09963
2.47841830,3.6829,9306911.49253
2.44110174,1.4650,283357.23404
2.46478917,1.1319,152379.52319
2.44711502,3.5140,7204977.58935
2.44251384,2.4990,1696669.13270
2.47809377,1.9704,759581.69943
2.47002144,3.5124,7406834.83055
2.43567066,3.5469,7408265.84165
2.44495871,0.3630,24502.44703
2.45190473,2.6976,2328672.70279
2.48851599,1.0284,128845.62283
2.43980050,2.8274,2770857.09604
2.50445479,4.3651,21679079.24403
