sample_size,experiment_id,coeff_0,coeff_1,coeff_2,coeff_3,coeff_4,coeff_5,coeff_6,coeff_7,coeff_8,coeff_9,coeff_10
5,0,7.887390020738322e+19,-1.3876911790728309e+19,3.8076809778618054e+17,-1108985167894895.5,-16127164205474.154,-67299369296.61628,34897878.23151277,3193431.7703808886,35398.21877997815,291.3329648542967,2.1039754792783367
5,1,1.665275086805165e+21,-5.216236891345631e+19,2.7105389921173002e+17,1936084836263833.5,-195856023947.5013,-72058767848.16408,-553451501.2760726,-1580703.37957923,15113.111770628546,305.8411950639892,3.398534956202424
5,2,2.4698362673374016e+20,-2.0105121809456787e+19,3.990638264195269e+17,-989239166925260.4,-16651581219279.463,-69716966819.68553,46673660.756764784,3357265.85269366,36223.725818311184,291.9867379027751,2.0715156778413686
5,3,2.1182152432105482e+20,-3.705855019695703e+19,4.823559491882059e+17,1018034930895986.6,-10392585657585.42,-104654559927.93037,-462377746.3464058,181560.01528981648,26010.580871275186,324.58499333979114,2.965310827414341
5,4,1.480001902626376e+21,-4.6421464842378576e+19,2.2311998359340618e+17,2176640903024764.8,3662586802700.455,-58538960122.14633,-636612962.0673369,-3027540.993027814,5386.037178624779,290.7033379211428,3.951807663930122
5,5,1.0569758156810297e+21,-3.1420544464249676e+19,1.816522940184072e+17,1276145234331454.0,-1849513708409.7937,-64069282112.71611,-423153113.3900558,-660958.2121316338,18700.11320321482,299.54278636949755,3.1186074273276496
5,6,2.240575203326135e+21,-6.423862675403368e+19,3.60567745943159e+17,2240892160915178.5,-4045196882947.222,-101896555088.58286,-579773323.9694864,-551111.8024611915,24127.909779826838,328.7940867339718,3.0203591328898907
5,7,-2.190613537938569e+21,1.4712908455846448e+20,-3.517816704474459e+16,-3518587831790909.5,-25018528016894.7,-106078076439.15427,-141415510.8868321,2685656.2164280904,37287.10468044734,337.86904580223296,2.5940931156933025
5,8,7.686453000198235e+20,-5.4007710261102076e+19,7.698246003112678e+17,599902940308406.5,-19318300517532.12,-138666281857.32004,-439070062.1390297,1273917.9060671085,33239.34589480997,341.04052954747596,2.7526461149181873
5,9,1.406418867611218e+21,-6.999844415176228e+19,7.843704844953796e+17,1288672951565497.2,-18099468225632.375,-146831335439.23578,-494921646.19089305,1181917.1705754905,34001.808104426476,346.26030737751574,2.7350738124575384
5,10,1.2116769690778851e+19,-1.700285494389396e+18,7.630305744992042e+16,-1086397895024326.6,-1826310315140.3943,36546040571.33516,440091586.3671511,3514402.3450268507,24606.038895381433,163.4159052087683,1.0610312430900242
5,11,1.3217022855631654e+21,-6.045411424558852e+19,6.044038882348933e+17,1484011527053874.8,-14593900485651.744,-131755806459.78522,-444332725.51958483,1317598.0645079298,33780.00621895007,337.29909466654726,2.631240064430163
