# Polynomial: y = 0.8370x^0 + 9.1864x^1 + 9.8821x^2 + 2.9527x^3 + 5.8716x^4 + 1.8762x^5 + 10.0000x^6 + 4.9967x^7 + 8.2807x^8 + 1.0862x^9 + 2.0856x^10
x_base,nonce,f(x_base+nonce)
2.45083333,16.7875,15037454006585.41406
2.46221617,13.3772,2175494973193.80640
2.45914833,0.3518,121138.99136
2.48329764,0.8389,555485.50843
2.44490102,11.2027,495826712425.11475
2.48176308,4.1034,377922807.80133
2.45824617,2.1285,11507314.95118
2.43034992,16.2461,11196245934072.78320
2.49576982,16.5159,13364444066755.18945
2.49756630,2.8724,52242278.06870
2.47503721,17.1142,18001317565367.99609
2.48292738,12.5235,1272011421639.63550
2.43350441,18.4594,34187749982091.38672
2.45096806,11.3086,537693525450.82208
2.44000018,8.2752,45171627520.63094
2.47077481,15.4435,7396951238211.24707
2.44580858,13.6374,2532075960477.34033
2.44166948,19.7498,62326785736552.39062
2.46633550,9.7590,166534845401.99307
2.49202512,1.5164,3203896.80229
2.48456374,7.3800,19955528518.72719
2.47581387,10.3863,275441034449.78589
2.50429107,17.9864,28171670448546.50781
2.42974009,16.3662,11929768190855.93555
2.48493852,15.7047,8609018455537.28320
2.46488929,11.3300,551546160506.00647
2.49358113,2.1089,11889610.82369
2.48482109,6.7302,10194114636.81492
2.43553835,15.7866,8763269865674.92383
2.42711175,14.5911,4440447554217.18359
2.45190686,13.3338,2103297236542.82446
2.43087889,2.3413,16805859.24580
2.48718429,10.6900,350134538199.07983
2.50867434,19.4225,55415971941672.68750
2.47213008,9.8532,180531377586.96823
2.47769922,18.2725,31932455734744.37500
2.46673401,11.8266,784445586455.88928
2.48276492,4.9840,1290085751.91394
2.44878726,11.0865,456802203755.80652
2.45037211,1.1048,1040953.90685
2.51734133,11.4330,616412052369.32068
2.47633807,15.2797,6772153223258.16602
2.47865208,15.9922,10028602836660.40430
2.50546985,2.1111,12241606.32209
2.44273164,0.0268,38345.86532
2.45784210,6.1179,5022791778.76763
2.43485233,2.9328,52025518.92691
2.48335909,19.5491,58018505418770.55469
2.46946433,17.9103,26689572829872.73828
2.47487316,12.3730,1144670282029.88867
2.49302300,18.4549,35094861087301.19531
2.47941092,3.2376,95690962.78150
2.49549542,3.8424,260325806.45225
2.41876751,1.5250,2748803.64890
2.48400172,15.8059,9092919035528.68359
2.47206843,8.5681,60695825235.73443
2.42690075,14.5392,4307092676866.63232
2.44311210,7.4175,19876778677.68062
2.50299489,14.6910,4918156078926.10156
2.44571547,15.4579,7353287813941.34375
2.47541680,14.0748,3365354335899.36816
2.43667030,6.3515,6390014294.04053
2.42648809,1.6054,3385196.43543
2.48094882,17.4718,21616674955346.45703
2.44674183,8.0154,35668749215.30421
2.43775314,15.9534,9606303770843.71875
2.42604575,14.5604,4358721419392.07422
2.45095773,4.3652,529006281.89132
