# Polynomial: y = 4.2669x^0 + 2.7905x^1 + 4.9267x^2 + 9.7587x^3 + 1.5870x^4 + 6.7792x^5 + 1.0410x^6 + 8.6579x^7 + 9.6778x^8
x_base,nonce,f(x_base+nonce)
2.45426593,0.8620,184480.12938
2.50770332,2.2568,3083276.26135
2.44459073,1.1021,310063.50518
2.43365333,0.4048,55802.43616
2.48206788,2.2817,3079558.18837
2.45149546,0.4467,65448.54689
2.45961964,0.6371,108833.70537
2.46684928,0.7101,132510.99586
2.46262018,0.0664,23163.86058
2.46435966,2.8088,6819918.17605
2.47519930,2.2682,2978130.60834
2.47069904,1.8182,1356857.62532
2.44727547,1.0031,250580.47356
2.43556976,2.2771,2830642.64286
2.44165377,1.1831,367007.94605
2.45380595,1.0958,312041.84924
2.43570468,1.4560,636961.16213
2.43797566,0.0513,20544.46215
2.47504012,1.5452,819988.44549
2.51054897,1.6936,1161457.47560
2.45205772,0.9679,234002.10037
2.49281606,2.3461,3480411.60673
2.48692846,0.4824,78818.51902
2.45900693,2.8423,7110432.43608
2.42009010,0.9026,187256.32063
2.46038921,0.1349,28188.49582
2.46618435,2.9423,8318207.42505
2.43582293,2.5059,4102451.02592
2.45647697,2.6418,5236649.32129
2.48259818,0.0629,24333.24929
2.45978245,0.1692,31092.82348
2.51467000,0.4803,84194.57675
2.47354953,1.4674,702339.60166
2.45460800,0.0259,20003.05685
2.45397031,1.9808,1761136.02652
2.47673108,2.3603,3469824.25915
2.46812194,0.4907,76704.25321
2.43972042,2.1606,2344376.41432
2.51564996,0.0972,29670.95716
2.46646625,1.4495,668472.35702
2.45229218,0.5009,75591.96862
2.44576701,1.8657,1413509.97244
2.46014061,0.7863,156552.79379
2.49498288,0.5428,93890.01977
2.44425223,2.9233,7837291.14844
2.49855878,0.5820,104541.83632
2.42863419,2.0928,2048236.68475
2.48539772,1.0966,334779.48130
2.42274217,2.2986,2871603.98504
2.43571183,1.1839,362993.60045
2.46108674,2.2273,2718657.98651
2.43075398,1.9074,1483165.97562
2.47006991,2.8261,7056618.24741
2.45670384,1.6534,973877.88491
2.47955126,2.9056,8040995.82870
2.46568909,0.0978,25669.02893
2.47130204,0.4207,64384.82907
2.48790620,2.0446,2087715.28381
2.47469694,2.1676,2516731.10425
2.50738756,2.5567,4967937.18621
2.46059429,2.4108,3667326.46218
2.44655428,0.0004,18045.30596
2.48065723,1.6325,979523.16253
2.44684987,0.1295,26663.03775
2.44401275,0.9401,215706.09737
2.45927251,0.7021,127589.58344
2.46852271,1.8831,1519448.32970
2.49875009,1.2563,482601.56809
2.50106427,0.4061,67016.27795
2.47448020,0.8099,171227.87792
2.42378070,1.9011,1448154.52374
2.45149778,1.0889,305830.37467
2.43868655,1.4478,630356.42573
2.45147116,0.6362,106412.03400
2.46280850,2.1682,2469324.58919
2.44719191,2.9483,8162835.05047
2.46559711,1.3150,508672.08645
2.50754603,2.8077,7258268.91605
2.45543427,2.1408,2328164.38046
2.46206103,1.3586,552043.51811
2.51434599,0.2930,51292.81029
2.46120197,1.6292,938132.08797
2.50388198,2.8171,7319880.64221
2.46736202,2.3357,3283801.93353
2.45072645,1.6897,1031224.51418
2.47242802,1.0862,318234.72252
2.49193940,0.7469,153749.07732
2.46781454,1.4902,726327.90986
2.46016118,0.4055,60028.41266
2.47285587,2.4091,3729973.36077
2.46621813,2.8269,7024817.60974
2.48342274,0.6567,121134.60133
2.44578437,1.5930,849871.83934
2.48095706,1.0013,269052.89165
2.45152075,1.6109,889340.71179
2.48907923,0.2762,45704.77396
2.42621411,2.3895,3352040.98411
2.45340324,0.8379,174032.00059
2.42530588,1.7446,1089789.64840
2.47120583,2.4013,3673875.99544
2.48418048,1.3773,599530.88099
2.47818379,2.5834,4948741.96454
2.50039852,0.6072,111809.14543
2.49707564,2.4662,4244540.84812
2.46228928,1.7644,1210854.32161
2.45162141,1.5881,851406.83122
2.47603254,1.1145,341006.95277
2.44489447,1.5280,747827.16687
2.45500100,2.6181,5037579.65277
2.46957759,1.1083,331809.03781
2.45475350,1.5980,873008.17380
2.46109961,1.7930,1273394.95764
2.44458180,0.4076,57900.91395
2.47259318,0.3312,50798.71620
2.48711964,2.5215,4557616.03172
2.44409692,1.4492,638988.53735
2.43202951,2.2625,2746613.31537
2.50956740,1.0811,341106.16300
2.45351534,2.6776,5506634.28704
2.47990728,2.5157,4465770.28383
2.46959073,1.6191,935082.27108
2.50310712,1.8624,1557661.57828
2.44172161,1.7257,1084744.36405
2.45394226,0.1937,32811.87118
2.45577326,2.5441,4495700.88545
2.49866994,0.9930,274730.07425
2.44225964,1.7958,1236463.10586
2.45252700,0.3790,54769.28142
2.47754691,2.0771,2168663.42830
2.44856598,2.9103,7738425.27310
2.41791716,1.3195,465297.23265
2.42112027,2.6176,4776439.07180
2.50772421,1.9351,1786242.20010
2.46436777,1.2912,483118.00509
2.45207195,1.8777,1460971.22830
2.45417351,1.6770,1013419.75884
2.46152728,2.9862,8803329.89502
2.50833504,1.1682,409654.07098
2.47604634,1.5985,910204.40832
2.44897060,2.3827,3439870.02905
2.49908858,2.6121,5341388.59685
2.41771717,2.8345,6610559.07673
2.48361850,0.8791,205394.37148
2.44217918,1.6752,987376.13532
2.46402237,1.1881,389036.21923
2.48435775,1.3371,552937.86889
2.48855153,0.5838,102419.62791
2.45719719,0.5198,80393.84541
2.45362709,0.9632,232351.69710
2.45059163,1.9133,1553172.53801
2.48520420,0.9718,254326.89266
2.49771025,0.3562,58169.96676
2.48618810,2.1567,2519235.52111
2.51623585,0.9255,245770.19147
2.50200458,2.1819,2698417.46601
2.47823839,0.1765,33487.20781
2.46237850,2.3175,3161911.74186
2.50184282,1.5109,808170.58510
2.51616647,0.0823,28451.78646
2.46820931,0.4208,63876.28968
2.45284953,2.0028,1826869.17049
2.42958530,2.5349,4252641.83527
2.48712653,0.4641,75206.95855
2.48856734,1.0903,332520.49106
2.45832445,1.9940,1816259.34872
2.45956514,2.2006,2593399.02709
2.48626003,2.1729,2589032.71749
2.44035239,0.5748,88649.69606
2.49227382,2.2233,2844301.70165
2.50671226,0.0297,23682.18856
2.44755885,0.1511,28467.79767
2.44977053,1.4929,704726.93124
2.48301399,1.7623,1253048.32666
2.45806883,2.6964,5705977.14458
2.45305218,2.9833,8660226.29872
2.46696315,2.8657,7446768.79498
2.49862963,1.5352,841795.55685
2.45327490,1.0636,290452.03238
2.46035778,1.1283,339630.39524
2.45528798,2.1671,2433650.42833
2.49072171,2.5871,5074394.09300
2.44613624,0.3425,48737.45863
2.48410127,1.6634,1045022.26674
2.43974944,2.5919,4724226.50983
2.43411551,1.2939,456294.89437
2.46334317,2.4141,3703092.21965
2.48064339,0.7218,140925.42419
2.46957973,0.3640,55073.70752
2.45439050,1.2885,470609.43922
2.44805062,1.4347,625664.67287
2.44092858,2.0680,2004433.75512
2.43079803,2.9745,8279865.67718
2.49124966,2.0417,2089310.27265
2.43102865,1.1855,360605.03693
2.45103974,1.5887,851436.88231
2.44865020,0.5459,84104.03427
2.45162838,2.4176,3654593.61339
2.48617621,1.6124,952820.93762
2.47194164,1.4265,645577.91849
2.45164295,1.6212,907247.86732
2.49890730,0.7521,158258.69221
2.45475043,2.7229,5910070.93761
2.45021179,2.5314,4368797.43423
2.47332646,0.4144,63659.38347
2.43778824,2.2641,2780433.42415
2.44392927,1.4412,628648.33947
2.46392453,0.3051,46179.60850
2.45041798,1.7757,1209579.96288
2.43559797,2.9969,8612202.67474
2.42967405,0.4872,68750.60024
2.47028099,0.1637,31545.36771
2.49127693,0.2065,37851.22553
2.44827150,2.2672,2843819.46733
2.47501712,1.6791,1058070.89953
2.45399392,2.7771,6405112.66672
2.50128650,2.7628,6728513.30827
2.46956419,1.3392,538838.73171
2.48560233,2.8547,7530787.69596
2.45802596,2.9036,7769720.04377
2.43362537,2.4529,3757366.73693
2.44623426,2.4326,3711360.49173
2.48493468,0.7881,166718.06091
2.45211514,2.1122,2204864.38559
2.46181482,0.9818,246809.40219
2.46476241,1.2361,431145.91559
2.49322410,0.6212,113712.19691
2.45567200,2.8616,7279978.47834
2.49203374,2.2816,3129764.09384
2.49189459,0.3499,56306.91976
2.47666229,2.0436,2044096.63541
2.50096187,0.4723,79623.11063
2.45834615,0.9162,211040.37331
2.46151335,2.2048,2620248.12117
2.44470113,0.1905,31656.70878
2.45567628,2.3247,3164486.67680
2.51127260,2.5196,4718520.72664
2.47726210,1.1894,401203.35615
2.47135830,0.8579,190132.55144
2.47195831,2.7123,5969405.29612
2.42414344,0.1516,26615.41730
2.46112044,2.7521,6235661.01029
2.48101257,2.2104,2732397.04673
2.45661295,1.7236,1110942.35134
2.44766637,0.4471,64857.71166
2.48956080,2.6555,5624924.30754
2.47150256,1.0615,300920.56449
2.46883559,2.6422,5340136.88423
2.43387688,0.0501,20215.74039
2.41987909,0.1060,22946.64930
2.45787301,0.1630,30370.76889
2.47324634,1.3657,572891.87379
2.49070391,0.6969,135972.41736
2.48641251,2.8837,7866642.09077
2.43442816,1.4144,584443.32719
2.47705412,2.5785,4902781.51187
2.43932298,0.0985,23782.25871
2.44046310,0.3394,47578.24315
2.47050768,0.3624,54973.87728
2.51101568,0.9907,280904.49329
2.47470045,2.1025,2253932.90551
2.47588400,0.5262,85741.98475
2.49821001,2.2166,2840703.59054
2.50306478,2.4021,3870939.68872
2.45798783,0.5976,98202.01065
2.48634600,1.2693,483196.08934
2.46508978,2.9222,8066061.66323
2.45042482,1.6442,945695.46136
2.47762860,1.3179,524473.87808
2.46063780,2.3542,3347274.91891
2.43072654,0.4859,68705.90642
2.47541418,1.0983,328830.87484
2.45961014,2.5337,4449725.65048
2.44834523,1.0963,308681.94520
2.48754680,2.8447,7442213.27436
2.48058487,2.2193,2771190.18528
2.49364042,1.1748,402714.12823
2.47138841,2.1512,2434474.71322
2.47626183,0.3823,58899.49766
2.43202980,0.5937,91066.15596
2.46067383,1.7613,1200371.00159
2.45070716,0.5545,86429.16626
2.50679535,1.4319,699223.37369
2.45111562,1.1788,371076.90424
2.45292523,0.9943,248817.04249
2.51300102,0.4030,68593.06754
2.47149989,1.5017,748274.22702
2.43567395,2.8560,7009812.51132
2.43505755,2.9178,7670678.32217
2.45816527,0.4441,66155.90600
2.47012201,1.2701,468012.90927
2.50346947,2.8018,7152188.10580
2.48258536,2.2619,2983463.99839
2.46954662,2.0489,2037696.76443
2.47154103,2.6979,5837075.47383
2.43534980,0.1780,29714.13785
2.44895679,0.7337,134355.48606
2.45142265,2.3462,3254840.51330
2.48742393,0.0784,25847.02807
2.44860066,2.7763,6345946.05003
2.48236517,1.6814,1077355.73506
2.43091043,0.7171,123496.38218
2.49776623,2.1443,2515754.30544
2.43240924,0.9943,237596.37449
2.43505980,0.6011,93505.33499
2.49388814,0.2909,48225.98152
2.46537271,2.4262,3787829.21807
2.51589708,1.2210,464795.20729
2.50151352,2.5020,4521380.05718
2.44724051,2.0566,1986848.05696
2.43030770,1.1215,313543.33669
2.42202562,1.9844,1675217.39718
2.44944195,0.9708,234152.44802
2.41903153,2.3649,3182930.83991
2.47407741,2.7630,6462733.26703
2.44811244,2.5374,4395637.43301
2.46529512,0.6955,127410.28311
2.45749154,1.0788,303095.57799
2.46632303,2.8433,7198311.46755
2.47539489,1.9540,1744551.80866
2.49194631,0.4328,70185.50418
2.48895082,2.0271,2029278.90030
2.47837167,1.3789,594474.56225
2.46980807,0.7769,156652.25780
2.44975315,1.7932,1247629.61727
2.49545163,0.2633,44887.43991
2.47071621,2.7991,6786109.92203
2.51318650,1.4389,717914.77559
2.45293955,1.0226,265064.48583
2.47268425,1.3233,524962.77127
2.48578224,2.7724,6669610.12145
2.42666212,0.9107,193734.54760
2.47683623,1.2047,413994.02118
2.50672331,0.1903,37770.70876
2.43756599,1.6103,864851.29414
2.45722728,2.5475,4529970.67240
2.44890341,2.3550,3288301.92175
2.46146035,2.7871,6574585.18119
2.48145295,0.8815,205504.98818
2.45407088,0.7528,142433.51207
2.45259647,1.5843,846786.57505
2.48478570,2.7692,6628018.67714
2.49065322,1.2110,431860.81762
2.46492827,2.8227,6967926.96448
2.46512109,0.3935,58908.84329
2.50087288,2.0422,2126011.68851
2.46998235,1.2557,454084.60408
2.49127055,0.5611,97410.23338
2.44021948,0.1548,28166.24304
2.50313311,1.9856,1935426.28721
2.47617198,2.1445,2426603.23136
2.43143000,0.9807,229894.62442
2.45268339,0.5052,76517.83013
2.46658868,1.9112,1592162.03076
2.49186095,2.9284,8461270.01384
2.44909392,2.1454,2321289.30013
2.42863637,1.7314,1069866.30903
2.44923048,0.8536,178790.40395
2.48148832,1.7956,1328009.51802
2.47110844,1.5965,898214.99201
2.48663880,0.0278,22170.60994
2.48222502,1.1540,376104.08739
2.47227580,2.2317,2790093.80543
2.47934830,0.1478,30928.20550
2.44470647,0.3313,47076.36899
2.44082626,2.8425,6923628.05855
2.48493751,1.7163,1155207.55373
2.49617847,0.7275,148288.12435
2.47322484,1.6898,1075865.11443
2.48715154,2.1136,2346092.65725
2.44654882,2.6926,5574508.12606
2.45484696,2.3277,3175736.71831
2.46420308,2.9000,7799041.35133
2.44909606,1.9405,1625959.36542
2.47751459,1.0571,301984.89031
2.44990548,2.9687,8441030.12869
2.44886002,1.2206,403582.57563
2.43948024,0.1097,24601.54212
2.45471551,1.9244,1595929.00185
2.51233077,0.6379,124168.45147
2.47335676,2.2087,2690111.56710
2.45211986,1.8654,1429052.21589
2.47135622,2.6631,5534772.57981
2.47328310,0.0018,19674.39443
2.44035967,0.2086,32936.33589
2.48507886,2.2392,2885591.60580
2.46043050,1.5505,805336.34534
2.47571922,1.7321,1169378.43759
2.45726489,2.7531,6208955.40083
2.43768688,0.0178,18526.43076
2.43784444,1.8199,1281920.55379
2.47639854,2.1019,2258158.40130
2.45483227,0.7795,152107.49275
2.47628325,0.8691,197358.55422
2.46432966,2.5026,4269052.81369
2.43681633,2.1106,2141930.95560
2.46214487,0.8098,166290.39718
2.46045227,2.8705,7428064.66783
2.45134806,2.3137,3086032.76857
2.47440973,1.2203,425619.13575
2.45358159,2.3595,3337741.11640
2.48225237,2.5597,4800473.33285
2.48109463,2.1871,2628512.09830
2.46085470,2.8467,7176366.39205
2.45370492,2.8154,6778936.46192
2.46002359,2.7389,6102955.69604
2.43949134,0.6322,102250.57194
2.44077633,0.4605,65983.40753
2.47568246,2.4713,4136735.59691
2.49525687,2.3927,3765984.48213
2.49058357,0.1222,29665.22595
2.47590144,1.6878,1077227.34652
2.46679403,0.4809,74519.37474
2.44576074,0.9092,201763.46434
2.44598612,0.8898,193029.39694
2.46339702,1.0997,321341.99336
2.46208119,2.8318,7032757.18415
2.47008743,1.3687,572707.76022
2.47384987,0.5253,85100.76746
2.44204302,1.3719,544552.52209
2.48597185,1.0268,287840.20710
2.48224456,0.9914,263948.78032
2.48640724,0.1759,34220.97117
2.49222343,1.6059,952002.06922
2.44548254,0.4943,72999.42200
2.49044886,0.5908,104722.02065
2.47639023,1.5420,817058.52195
2.45148101,1.9951,1798059.93394
2.45287437,0.1276,26988.91078
2.43888994,2.9546,8139121.41535
2.44466870,1.0207,259124.32357
2.45792366,1.8653,1443834.90838
2.50188771,2.5027,4528982.11301
2.43275522,2.9000,7447776.51434
2.43685498,0.3701,51238.22611
2.48391337,2.4086,3793530.26910
2.46784419,0.4590,70572.29976
2.46800171,2.1345,2353071.19918
2.47116734,0.8141,171584.97965
2.45530849,1.7125,1085528.72844
2.48922201,0.6636,124956.84185
2.50111189,1.4364,697592.18540
2.47890980,0.6693,123556.59835
2.51376086,0.4717,82164.48261
2.42674826,2.3963,3392163.35495
2.45361185,0.0264,19972.79857
2.46993293,0.3620,54829.36458
2.45075644,2.2996,3012440.53666
2.46848064,2.2500,2858031.48649
2.43811879,2.5367,4322397.76357
2.49691242,1.2995,525422.54334
2.50248553,1.1684,404799.50845
2.44029797,2.0710,2012669.38265
2.49178818,2.3955,3761956.76365
2.49428024,1.3420,569809.77429
2.46635151,1.8899,1532095.66014
2.49693041,2.2000,2757607.85079
2.44265780,1.3750,548683.64917
2.44923239,0.0529,21361.69402
2.46051406,0.0247,20292.07440
2.49104311,2.1759,2623011.95803
2.45320086,2.1464,2341514.37038
2.46973530,2.9410,8345387.22027
2.46311251,0.8384,178240.63845
2.48252121,2.4760,4212831.57146
2.42068010,2.2486,2633290.66024
2.45202016,2.4028,3570871.77826
2.44658937,0.0515,21101.67127
2.46027141,2.0251,1924143.71210
2.46405215,0.8426,180392.95297
