sample_size,experiment_id,coeff_0,coeff_1,coeff_2,coeff_3,coeff_4,coeff_5,coeff_6,coeff_7,coeff_8,coeff_9,coeff_10
5,0,-1965112010.2659285,119404278.0834121,135073232.25721025,870148.6234825556,-1531111.473385156,-183193.7621381023,-7715.465261459718,997.4318839176827,283.74076230096193,43.59696816804546,5.411611388116382
5,1,12497394399.26566,-7171683428.306851,576420735.9691845,79486508.1146293,1717903.0848907896,-514307.7554368465,-84723.957211325,-7224.433307955087,-187.00449014723554,66.0538869224843,17.17715208624861
5,2,3027515155.3313346,-1574279740.3392766,200009223.91751802,8776028.152879227,-1246136.1936588604,-174754.39189050935,-6699.463344892126,1109.701528303434,286.1761795116882,42.14654977779094,5.0703487937899805
5,3,852551787.7371002,-577736343.324305,102570183.7186464,2589758.468960572,-946630.0825934855,-114919.87365134383,-3225.364318521764,1064.3056757161148,258.6134756916585,39.941434620599644,5.184317837836604
5,4,1830464652.2348118,-869057980.8427284,74893116.86971581,9022865.682642562,-80040.0230665064,-95735.31333592761,-10557.7881347927,-200.96718452468662,153.26237494168265,39.883072781802426,7.0084963407249345
5,5,1413929343.6713953,-1197296160.0113232,297565618.93790096,-11790099.005440963,-2487064.1982584903,-90182.57271322736,11876.752903598666,2663.7705104501356,338.7766766720672,35.62647977541837,3.418753310918184
5,6,-23981706004.2504,8281098487.197585,-331345673.7217156,-69972363.68686998,-3065290.393143582,195117.5234778604,49739.97189275224,5624.317046339037,455.8998077903075,25.762049134775193,0.29509687679293695
5,7,-684899052099.8109,158050044289.28378,4735502819.5248995,-887730513.5902042,-128472876.40295583,-7501557.626989388,195373.1894814961,96946.61622918076,11333.368734435728,458.0512847426575,-109.00921085906344
5,8,843821898.4558258,-452575969.2060171,37270248.02862954,7621896.043120694,199768.6816885646,-84503.7421522824,-16592.85877179438,-1521.6639813688612,27.918008763629874,44.91938827874102,11.96885049728732
5,9,3582931313.3110547,-1473056549.8706934,91590070.95113659,16180744.58558044,103908.35895983354,-134232.90197810976,-14829.756623243382,-290.88956812181624,176.3113342887333,41.66397915900771,6.538129463306738
5,10,-69486795542.34653,21451404261.63594,-523235836.8612028,-183498833.1205526,-9563369.676486615,353138.3508123347,106982.92001233007,11035.110425904906,724.34616348543,20.77682288986062,-2.7266761523243135
