NonceMin,NonceMax,SampleSize,AvgHitRate,FitType
0.0,200.0,5,0.0139004261267733,2.467
0.0,200.0,10,0.0128058723107895,2.467
0.0,200.0,20,0.0201421089740197,2.467
0.0,20.0,5,0.0122516307215294,2.467
0.0,20.0,10,0.0142270586999545,2.467
0.0,20.0,20,0.0200431256755194,2.467
0.0,2000.0,5,0.0115942332459411,2.467
0.0,2000.0,10,0.0170468622495351,2.467
0.0,2000.0,20,0.0184789983588705,2.467
0.0,100.0,5,0.011661759147835,2.467
0.0,100.0,10,0.0142768596843008,2.467
0.0,100.0,20,0.0198423843460552,2.467
0.0,50.0,5,0.0130018460793607,2.467
0.0,50.0,10,0.0143438881544493,2.467
0.0,50.0,20,0.0199272098925091,2.467
0.0,500.0,5,0.0128514254791806,2.467
0.0,500.0,10,0.0134980132362148,2.467
0.0,500.0,20,0.0194355269614097,2.467
0.0,4.0,5,0.0147248102454185,2.467
0.0,4.0,10,0.0132432087667198,2.467
0.0,4.0,20,0.0214365983383094,2.467
0.0,5.0,5,0.0128630939272361,2.467
0.0,5.0,10,0.0150631870783513,2.467
0.0,5.0,20,0.0218462467431825,2.467
0.0,2.0,5,0.0137942861552026,2.467
0.0,2.0,10,0.0140877505775447,2.467
0.0,2.0,20,0.0224769859413167,2.467
0.0,3.0,5,0.0125491663321505,2.467
0.0,3.0,10,0.0150963879089653,2.467
0.0,3.0,20,0.0222657812485191,2.467
0.0,1.0,5,0.0141664527368815,2.467
0.0,1.0,10,0.0140642529130316,2.467
0.0,1.0,20,0.0255894320653023,2.467
0.0,1000.0,5,0.0127808381611628,2.467
0.0,1000.0,10,0.0131101789825019,2.467
0.0,1000.0,20,0.0199929615105642,2.467
0.0,10.0,5,0.0140532449617834,2.467
0.0,10.0,10,0.0144848997737554,2.467
0.0,10.0,20,0.0176064005735632,2.467
0.0,200.0,5,0.0093574412005041,0.0
0.0,200.0,10,0.0101841358267584,0.0
0.0,200.0,20,0.0079658703499625,0.0
0.0,20.0,5,0.0056276173809799,0.0
0.0,20.0,10,0.0078993890634655,0.0
0.0,20.0,20,0.0090076972107693,0.0
0.0,2000.0,5,0.0092721149714006,0.0
0.0,2000.0,10,0.0104559863986328,0.0
0.0,2000.0,20,0.0098034723914197,0.0
0.0,100.0,5,0.0081998833784844,0.0
0.0,100.0,10,0.0090600516166349,0.0
0.0,100.0,20,0.0092655604165445,0.0
0.0,50.0,5,0.0073087377808834,0.0
0.0,50.0,10,0.0089843676076036,0.0
0.0,50.0,20,0.0088814198103449,0.0
0.0,500.0,5,0.0079601858536942,0.0
0.0,500.0,10,0.0081679545223166,0.0
0.0,500.0,20,0.0080169414507775,0.0
0.0,4.0,5,0.0037788103211697,0.0
0.0,4.0,10,0.0053584710079775,0.0
0.0,4.0,20,0.0051181513141093,0.0
0.0,5.0,5,0.0031483910867617,0.0
0.0,5.0,10,0.0056007887458782,0.0
0.0,5.0,20,0.0046903740425308,0.0
0.0,2.0,5,0.0018697259151022,0.0
0.0,2.0,10,0.0002573135639839,0.0
0.0,2.0,20,0.0010600292507028,0.0
0.0,3.0,5,0.0037348213402832,0.0
0.0,3.0,10,0.0046579059102097,0.0
0.0,3.0,20,0.0050039316776296,0.0
0.0,1.0,5,0.0,0.0
0.0,1.0,10,0.0001321982974461,0.0
0.0,1.0,20,0.0001863115652202,0.0
0.0,1000.0,5,0.0110171379171812,0.0
0.0,1000.0,10,0.0136557463458494,0.0
0.0,1000.0,20,0.0114859701240349,0.0
0.0,10.0,5,0.003787255513959,0.0
0.0,10.0,10,0.0067146888207105,0.0
0.0,10.0,20,0.0042752413564943,0.0
0.0,200.0,5,0.0113601931657756,2.46
0.0,200.0,10,0.0151115029528458,2.46
0.0,200.0,20,0.0192001741079109,2.46
0.0,20.0,5,0.0121736065515602,2.46
0.0,20.0,10,0.0143763547689855,2.46
